,Unnamed: 0,Race,Rank,Number,Distance,Meeting Name 2,Fixed Open Price,Number of runners,Fixed Open Price Order,weatherCondition,trackCondition,Betting Status
0,0,2,5,6,1200,6,18,8,8,0,2,0
1,1,2,2,1,1200,6,3.8,8,4,0,2,1
2,2,2,1,2,1200,6,4,8,2,0,2,0
3,3,2,4,3,1200,6,7,8,5,0,2,0
4,4,2,3,5,1200,6,5.5,8,3,0,2,1
5,5,3,2,1,1400,6,2.7,8,1,0,2,1
6,6,3,4,2,1400,6,7.5,8,3,0,2,1
7,7,3,1,4,1400,6,6,8,4,0,2,0
8,8,3,5,5,1400,6,31,8,7,0,2,0
9,9,3,3,8,1400,6,2.7,8,2,0,2,1
10,10,4,2,4,1000,6,13,8,9,0,2,0
11,11,4,5,2,1000,6,7,8,7,0,2,1
12,12,4,3,6,1000,6,6.5,8,2,0,2,1
13,13,4,4,3,1000,6,10,8,6,0,2,0
14,14,4,1,1,1000,6,4.8,8,2,0,2,1
15,15,5,3,9,1400,6,8,8,4,0,2,1
16,16,5,4,10,1400,6,11,8,6,0,2,1
17,17,5,5,4,1400,6,15,8,6,0,2,0
18,18,5,1,1,1400,6,1.85,8,2,0,2,0
19,19,5,2,3,1400,6,4.4,8,3,0,2,1
20,20,6,3,2,1800,6,5,10,2,0,2,1
21,21,6,5,6,1800,6,16,10,5,0,2,0
22,22,6,2,1,1800,6,2.25,10,1,0,2,1
23,23,6,1,7,1800,6,4.8,10,4,0,2,1
24,24,6,4,8,1800,6,5,10,3,0,2,0
25,25,7,2,3,1500,6,9,12,3,0,2,0
26,26,7,4,4,1500,6,17,12,7,0,2,0
27,27,7,1,6,1500,6,5.5,12,2,0,2,0
28,28,7,5,9,1500,6,26,12,8,0,2,1
29,29,7,3,1,1500,6,5,12,5,0,2,1
30,30,8,3,3,1800,6,8.5,12,7,0,2,1
31,31,8,1,4,1800,6,8.5,12,7,0,2,0
32,32,8,5,6,1800,6,23,12,10,0,2,0
33,33,8,2,8,1800,6,11,12,6,0,2,0
34,34,8,4,9,1800,6,4,12,2,0,2,1
35,35,7,3,9,1050,47,4.6,7,5,0,2,1
36,36,7,1,4,1050,47,1.55,7,4,0,2,1
37,37,8,2,1,1200,47,2.5,7,5,0,2,0
38,38,8,5,10,1200,47,41,7,10,0,2,0
39,39,8,4,8,1200,47,6,7,6,0,2,0
40,40,8,1,4,1200,47,4.8,7,7,0,2,1
41,41,8,3,6,1200,47,2.8,7,4,0,2,0
42,42,3,5,3,1106,57,4.4,8,2,0,2,1
43,43,3,2,7,1106,57,4.2,8,4,0,2,0
44,44,3,1,1,1106,57,7,8,1,0,2,0
45,45,3,4,2,1106,57,15,8,7,0,2,0
46,46,3,3,8,1106,57,14,8,8,0,2,1
47,47,4,3,5,1732,57,7,8,4,0,2,1
48,48,4,2,3,1732,57,18,8,8,0,2,0
49,49,4,1,1,1732,57,1.9,8,1,0,2,1
50,50,4,5,8,1732,57,41,8,6,0,2,0
51,51,4,4,2,1732,57,3.7,8,2,0,2,0
52,52,5,3,6,1732,57,13,7,6,0,2,0
53,53,5,2,8,1732,57,16,7,7,0,2,1
54,54,5,4,4,1732,57,4.6,7,4,0,2,0
55,55,5,5,5,1732,57,26,7,7,0,2,0
56,56,5,1,1,1732,57,2.3,7,1,0,2,1
57,57,6,4,7,2132,57,21,8,6,0,2,0
58,58,6,2,2,2132,57,4.6,8,5,0,2,0
59,59,6,5,3,2132,57,3,8,2,0,2,1
60,60,6,3,6,2132,57,11,8,7,0,2,0
61,61,6,1,1,2132,57,4.8,8,4,0,2,0
62,62,7,1,2,1206,57,6.5,8,5,0,2,1
63,63,7,4,10,1206,57,26,8,10,0,2,0
64,64,7,3,1,1206,57,5,8,2,0,2,0
65,65,7,5,3,1206,57,3.1,8,3,0,2,1
66,66,7,2,8,1206,57,13,8,7,0,2,0
67,67,9,5,6,1400,87,8,9,3,0,2,1
68,68,9,3,4,1400,87,6,9,5,0,2,0
69,69,9,2,1,1400,87,2.75,9,1,0,2,1
70,70,9,4,5,1400,87,4.5,9,4,0,2,0
71,71,9,1,3,1400,87,3.5,9,2,0,2,1
72,72,10,2,1,1200,87,12,13,13,0,2,0
73,73,10,3,2,1200,87,15,13,12,0,2,0
74,74,10,4,6,1200,87,31,13,14,0,2,0
75,75,10,5,12,1200,87,71,13,15,0,2,0
76,76,8,3,4,1300,136,10,11,6,0,2,1
77,77,8,1,11,1300,136,4.2,11,5,0,2,0
78,78,8,2,1,1300,136,14,11,10,0,2,0
79,79,8,5,5,1300,136,10,11,11,0,2,0
80,80,8,4,6,1300,136,23,11,14,0,2,0
81,81,1,3,5,1405,11,8,7,4,1,2,1
82,82,1,5,3,1405,11,21,7,5,1,2,1
83,83,1,1,1,1405,11,2.8,7,2,1,2,1
84,84,1,4,4,1405,11,2.9,7,1,1,2,0
85,85,2,3,2,1005,11,4.4,7,2,1,2,1
86,86,2,1,1,1005,11,7.5,7,4,1,2,0
87,87,2,5,5,1005,11,4.4,7,1,1,2,1
88,88,2,2,3,1005,11,3.8,7,3,1,2,0
89,89,2,4,4,1005,11,3.3,7,4,1,2,0
90,90,3,3,1,1005,11,6.5,12,4,1,2,0
91,91,3,1,4,1005,11,4.4,12,2,1,2,1
92,92,3,2,5,1005,11,4.6,12,4,1,2,1
93,93,3,5,6,1005,11,3.2,12,1,1,2,1
94,94,3,4,12,1005,11,12,12,3,1,2,0
95,95,4,4,6,1905,11,23,12,10,1,2,1
