,Unnamed: 0,Weekday,Race,Rank,Number,Distance,Meeting Name 2,Fixed Open Price,Finishing Position,Betting Status,Number of runners,Fixed Open Price Order,weatherCondition,trackCondition
0,0,4,2,5,6,1200,6,2,0,1,8,8,0,2
1,1,4,2,2,1,1200,6,2,3,2,8,4,0,2
2,2,4,2,1,2,1200,6,2,0,1,8,2,0,2
3,3,4,2,4,3,1200,6,2,0,1,8,5,0,2
4,4,4,2,3,5,1200,6,2,2,2,8,3,0,2
5,5,4,3,2,1,1400,6,2,1,2,8,1,0,2
6,6,4,3,4,2,1400,6,2,3,2,8,3,0,2
7,7,4,3,1,4,1400,6,2,0,1,8,4,0,2
8,8,4,3,5,5,1400,6,2,0,1,8,7,0,2
9,9,4,3,3,8,1400,6,2,2,2,8,2,0,2
10,10,4,4,2,4,1000,6,2,0,1,8,9,0,2
11,11,4,4,5,2,1000,6,2,3,2,8,7,0,2
12,12,4,4,3,6,1000,6,2,1,2,8,2,0,2
13,13,4,4,4,3,1000,6,2,0,1,8,6,0,2
14,14,4,4,1,1,1000,6,2,2,2,8,2,0,2
15,15,4,5,3,9,1400,6,2,3,2,8,4,0,2
16,16,4,5,4,10,1400,6,2,1,2,8,6,0,2
17,17,4,5,5,4,1400,6,2,0,1,8,6,0,2
18,18,4,5,1,1,1400,6,1,0,1,8,2,0,2
19,19,4,5,2,3,1400,6,2,2,2,8,3,0,2
20,20,4,6,3,2,1800,6,2,2,2,10,2,0,2
21,21,4,6,5,6,1800,6,2,0,1,10,5,0,2
22,22,4,6,2,1,1800,6,2,1,2,10,1,0,2
23,23,4,6,1,7,1800,6,2,3,2,10,4,0,2
24,24,4,6,4,8,1800,6,2,0,1,10,3,0,2
25,25,4,7,2,3,1500,6,2,0,1,12,3,0,2
26,26,4,7,4,4,1500,6,2,0,1,12,7,0,2
27,27,4,7,1,6,1500,6,2,4,1,12,2,0,2
28,28,4,7,5,9,1500,6,2,3,2,12,8,0,2
29,29,4,7,3,1,1500,6,2,2,2,12,5,0,2
30,30,4,8,3,3,1800,6,2,2,2,12,7,0,2
31,31,4,8,1,4,1800,6,2,0,1,12,7,0,2
32,32,4,8,5,6,1800,6,2,0,1,12,10,0,2
33,33,4,8,2,8,1800,6,2,0,1,12,6,0,2
34,34,4,8,4,9,1800,6,2,3,2,12,2,0,2
35,35,4,7,3,9,1050,47,2,1,2,7,5,0,2
36,36,4,7,1,4,1050,47,1,2,2,7,4,0,2
37,37,4,8,2,1,1200,47,2,3,1,7,5,0,2
38,38,4,8,5,10,1200,47,2,0,1,7,10,0,2
39,39,4,8,4,8,1200,47,2,0,1,7,6,0,2
40,40,4,8,1,4,1200,47,2,2,2,7,7,0,2
41,41,4,8,3,6,1200,47,2,4,1,7,4,0,2
42,42,4,3,5,3,1106,57,2,1,2,8,2,0,2
43,43,4,3,2,7,1106,57,2,0,1,8,4,0,2
44,44,4,3,1,1,1106,57,2,0,1,8,1,0,2
45,45,4,3,4,2,1106,57,2,0,1,8,7,0,2
46,46,4,3,3,8,1106,57,2,3,2,8,8,0,2
47,47,4,4,3,5,1732,57,2,2,2,8,4,0,2
48,48,4,4,2,3,1732,57,2,0,1,8,8,0,2
49,49,4,4,1,1,1732,57,1,1,2,8,1,0,2
50,50,4,4,5,8,1732,57,2,0,1,8,6,0,2
51,51,4,4,4,2,1732,57,2,4,1,8,2,0,2
52,52,4,5,3,6,1732,57,2,0,1,7,6,0,2
53,53,4,5,2,8,1732,57,2,2,2,7,7,0,2
54,54,4,5,4,4,1732,57,2,4,1,7,4,0,2
55,55,4,5,5,5,1732,57,2,3,1,7,7,0,2
56,56,4,5,1,1,1732,57,2,1,2,7,1,0,2
57,57,4,6,4,7,2132,57,2,0,1,8,6,0,2
58,58,4,6,2,2,2132,57,2,4,1,8,5,0,2
59,59,4,6,5,3,2132,57,2,1,2,8,2,0,2
60,60,4,6,3,6,2132,57,2,0,1,8,7,0,2
61,61,4,6,1,1,2132,57,2,0,1,8,4,0,2
62,62,4,7,1,2,1206,57,2,2,2,8,5,0,2
63,63,4,7,4,10,1206,57,2,4,1,8,10,0,2
64,64,4,7,3,1,1206,57,2,0,1,8,2,0,2
65,65,4,7,5,3,1206,57,2,3,2,8,3,0,2
66,66,4,7,2,8,1206,57,2,0,1,8,7,0,2
67,67,4,9,5,6,1400,87,2,2,2,9,3,0,2
68,68,4,9,3,4,1400,87,2,0,1,9,5,0,2
69,69,4,9,2,1,1400,87,2,3,2,9,1,0,2
70,70,4,9,4,5,1400,87,2,0,1,9,4,0,2
71,71,4,9,1,3,1400,87,2,1,2,9,2,0,2
72,72,4,10,2,1,1200,87,2,0,1,13,13,0,2
73,73,4,10,3,2,1200,87,2,0,1,13,12,0,2
74,74,4,10,4,6,1200,87,2,0,1,13,14,0,2
75,75,4,10,1,4,1200,87,2,0,0,13,10,0,2
76,76,4,10,5,12,1200,87,2,0,1,13,15,0,2
77,77,4,8,3,4,1300,136,2,1,2,11,6,0,2
78,78,4,8,1,11,1300,136,2,0,1,11,5,0,2
79,79,4,8,2,1,1300,136,2,4,1,11,10,0,2
80,80,4,8,5,5,1300,136,2,0,1,11,11,0,2
81,81,4,8,4,6,1300,136,2,0,1,11,14,0,2
82,82,5,1,2,2,1405,11,2,0,0,7,3,1,2
83,83,5,1,3,5,1405,11,2,3,2,7,4,1,2
84,84,5,1,5,3,1405,11,2,2,2,7,5,1,2
85,85,5,1,1,1,1405,11,2,1,2,7,2,1,2
86,86,5,1,4,4,1405,11,2,4,1,7,1,1,2
87,87,5,2,3,2,1005,11,2,2,2,7,2,1,2
88,88,5,2,1,1,1005,11,2,4,1,7,4,1,2
89,89,5,2,5,5,1005,11,2,1,2,7,1,1,2
90,90,5,2,2,3,1005,11,2,0,1,7,3,1,2
91,91,5,2,4,4,1005,11,2,3,1,7,4,1,2
92,92,5,3,3,1,1005,11,2,0,1,12,4,1,2
93,93,5,3,1,4,1005,11,2,2,2,12,2,1,2
94,94,5,3,2,5,1005,11,2,3,2,12,4,1,2
95,95,5,3,5,6,1005,11,2,1,2,12,1,1,2
96,96,5,3,4,12,1005,11,2,0,1,12,3,1,2
97,97,5,4,4,6,1905,11,2,2,2,12,10,1,2
98,98,5,4,1,7,1905,11,2,1,2,12,2,1,2
99,99,5,4,3,4,1905,11,2,0,1,12,9,1,2
100,100,5,4,2,9,1905,11,2,0,1,12,4,1,2
101,101,5,4,5,2,1905,11,2,0,1,12,3,1,2
102,102,5,5,2,2,1405,11,2,0,1,11,3,1,2
103,103,5,5,1,1,1405,11,2,1,2,11,2,1,2
104,104,5,5,3,8,1405,11,2,0,1,11,10,1,2
105,105,5,5,4,5,1405,11,2,3,2,11,7,1,2
106,106,5,5,5,7,1405,11,2,0,1,11,9,1,2
107,107,5,6,4,5,1255,11,2,0,1,12,12,1,2
108,108,5,6,2,1,1255,11,2,0,1,12,3,1,2
