,Unnamed: 0,Date,Race,Rank,Number,Distance,Meeting Name 2,Fixed Open Price,Finishing Position,Betting Status,Number of runners,Fixed Open Price Order,weatherCondition,trackCondition
0,0,0,2,5,0,1200,6,0,0,1,8,8,0,2
1,1,0,2,2,0,1200,6,0,3,2,8,4,0,2
2,2,0,2,1,0,1200,6,0,0,1,8,2,0,2
3,3,0,2,4,0,1200,6,0,0,1,8,5,0,2
4,4,0,2,3,0,1200,6,0,2,2,8,3,0,2
5,5,0,3,2,0,1400,6,0,1,2,8,1,0,2
6,6,0,3,4,0,1400,6,0,3,2,8,3,0,2
7,7,0,3,1,0,1400,6,0,0,1,8,4,0,2
8,8,0,3,5,0,1400,6,0,0,1,8,7,0,2
9,9,0,3,3,0,1400,6,0,2,2,8,2,0,2
10,10,0,4,2,0,1000,6,0,0,1,8,9,0,2
11,11,0,4,5,0,1000,6,0,3,2,8,7,0,2
12,12,0,4,3,0,1000,6,0,1,2,8,2,0,2
13,13,0,4,4,0,1000,6,0,0,1,8,6,0,2
14,14,0,4,1,0,1000,6,0,2,2,8,2,0,2
15,15,0,5,3,0,1400,6,0,3,2,8,4,0,2
16,16,0,5,4,0,1400,6,0,1,2,8,6,0,2
17,17,0,5,5,0,1400,6,0,0,1,8,6,0,2
18,18,0,5,1,0,1400,6,0,0,1,8,2,0,2
19,19,0,5,2,0,1400,6,0,2,2,8,3,0,2
20,20,0,6,3,0,1800,6,0,2,2,10,2,0,2
21,21,0,6,5,0,1800,6,0,0,1,10,5,0,2
22,22,0,6,2,0,1800,6,0,1,2,10,1,0,2
23,23,0,6,1,0,1800,6,0,3,2,10,4,0,2
24,24,0,6,4,0,1800,6,0,0,1,10,3,0,2
25,25,0,7,2,0,1500,6,0,0,1,12,3,0,2
26,26,0,7,4,0,1500,6,0,0,1,12,7,0,2
27,27,0,7,1,0,1500,6,0,4,1,12,2,0,2
28,28,0,7,5,0,1500,6,0,3,2,12,8,0,2
29,29,0,7,3,0,1500,6,0,2,2,12,5,0,2
30,30,0,8,3,0,1800,6,0,2,2,12,7,0,2
31,31,0,8,1,0,1800,6,0,0,1,12,7,0,2
32,32,0,8,5,0,1800,6,0,0,1,12,10,0,2
33,33,0,8,2,0,1800,6,0,0,1,12,6,0,2
34,34,0,8,4,0,1800,6,0,3,2,12,2,0,2
35,35,0,7,3,0,1050,47,0,1,2,7,5,0,2
36,36,0,7,1,0,1050,47,0,2,2,7,4,0,2
37,37,0,8,2,0,1200,47,0,3,1,7,5,0,2
38,38,0,8,5,0,1200,47,0,0,1,7,10,0,2
39,39,0,8,4,0,1200,47,0,0,1,7,6,0,2
40,40,0,8,1,0,1200,47,0,2,2,7,7,0,2
41,41,0,8,3,0,1200,47,0,4,1,7,4,0,2
42,42,0,3,5,0,1106,57,0,1,2,8,2,0,2
43,43,0,3,2,0,1106,57,0,0,1,8,4,0,2
44,44,0,3,1,0,1106,57,0,0,1,8,1,0,2
45,45,0,3,4,0,1106,57,0,0,1,8,7,0,2
46,46,0,3,3,0,1106,57,0,3,2,8,8,0,2
47,47,0,4,3,0,1732,57,0,2,2,8,4,0,2
48,48,0,4,2,0,1732,57,0,0,1,8,8,0,2
49,49,0,4,1,0,1732,57,0,1,2,8,1,0,2
50,50,0,4,5,0,1732,57,0,0,1,8,6,0,2
51,51,0,4,4,0,1732,57,0,4,1,8,2,0,2
52,52,0,5,3,0,1732,57,0,0,1,7,6,0,2
53,53,0,5,2,0,1732,57,0,2,2,7,7,0,2
54,54,0,5,4,0,1732,57,0,4,1,7,4,0,2
55,55,0,5,5,0,1732,57,0,3,1,7,7,0,2
